----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
TARGETING CYTOKINE MEDIATED CREB ACTIVATION IN PANCREATIC CANCER,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2016,200318,
THE MOLECULAR PATHOGENESIS OF VARICELLA ZOSTER VIRUS INFECTION,UNIVERSITY OF COLORADO DENVER,2016,1858372,
HIGH THROUGHPUT GO CHIP ISOLATION OF LUNG CTCS FOR MOLECULAR DIAGNOSIS AND DRUG TESTING,UNIVERSITY OF MICHIGAN,2016,343664,
IGF::OT::IGF TRANSGENEX NANOBIOTECH INC:1186317 [15-068310],"TRANSGENEX NANOBIOTECH, INC.",2015,225000,
NOVEL TECHNOLOGIES FOR IMPROVED SLIDE QUALITY OF PANCREATIC FINE-NEEDLE ASPIRATES,"AFFINERGY, LLC",2016,301009,
NOVEL TECHNOLOGIES TO REMOVE OBSCURING BLOOD FROM FINE NEEDLE ASPIRATION BIOPSIES,"AFFINERGY, LLC",2016,702576,
MECHANISMS ASSOCIATED WITH SYSTEMIC EFFECTS OF CANCER,RLR VA MEDICAL CENTER,2016,,
SELF-AFFIRMATION AND RESPONSES TO SMOKING RISK MESSAGES AMONG AFRICAN AMERICANS,"UNIV OF MARYLAND, COLLEGE PARK",2015,163264,
THE ROLE FO THE TPP1 PEOTEIN IN TELOMERASE FUNCTION AND CANCER CELL SURVIVAL,UNIVERSITY OF MICHIGAN,2015,228936,
TOOLS FOR LINKING AND MINING IMAGE AND GENOMIC DATA IN NON-SMALL CELL LUNG CANCER,STANFORD UNIVERSITY,2015,573438,
COMPUTING; OPTIMIZING; AND EVALUATING QUANTITATIVE CANCER IMAGING BIOMARKERS,STANFORD UNIVERSITY,2016,626891,
RAPID DIAGNOSTICS FOR MUCORMYCOSIS,"VITALEX BIOSCIENCES, LLC",2015,151113,
TRANSCRIPTIONAL REGULATION BY ANGIOTENSIN II IN VASCULAR SMOOTH MUSCLE CELLS,BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,2015,408775,
MULTI-INSTITUTIONAL TRIAL: ADJUVANT MTOR TARGETED THERAPY,LOUISIANA STATE UNIV HSC SHREVEPORT,2015,215731,
CONSEQUENCES OF INTERACTIONS BETWEEN HUMAN NEUTROPHILS AND STAPHYLOCOCCUS AUREUS,UNIVERSITY OF IOWA,2016,380000,
CANCER AND RISK OF ISCHEMIC STROKE,WEILL MEDICAL COLL OF CORNELL UNIV,2016,188768,
THE ROLE OF NUP88 OVEREXPRESSION IN CELLULAR TRANSFORMATION AND TUMORIGENESIS,MAYO CLINIC ROCHESTER,2016,42276,
DISSECTING THE FUNCTION OF PI3K/MTOR PATHWAY ACTIVATION IN ROS1 FUSION-MEDIATED ONCOGENESIS AND RESISTANCE TO TARGETED THERAPY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,35491,
TRANSLATIONAL CONTROL OF EMT BY THE CELF1 RNA BINDING PROTEIN,BAYLOR COLLEGE OF MEDICINE,2016,362569,
27-HYDROXYCHOLESTEROL AS A LINK BETWEEN OBESITY AND BREAST CANCER PATHOGENESIS,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,2016,240780,
DIM LIGHT AT NIGHT ALTERS PANCREATIC CELL SIGNALING AND PREDISPOSES TO PANCREATIC ADENOCARCINOMA,OHIO STATE UNIVERSITY,2016,200970,
PROSTACYCLIN AND PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR-GAMMA IN LUNG CANCER,UNIVERSITY OF COLORADO DENVER,2016,,273099
PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR (GAMMA) IN LUNG CANCER,UNIVERSITY OF COLORADO DENVER,2015,297398,
EICOSANOIDS IN LUNG CANCER: PROGRESSION AND METASTASIS,UNIVERSITY OF COLORADO DENVER,2016,322663,
MECHANISMS OF INHIBITORS OF MRTF/SRF-REGULATED GENE TRANSCRIPTION,MICHIGAN STATE UNIVERSITY,2016,313381,
CLINICAL HEMATOLOGY RESEARCH CAREER DEVELOPMENT AWARD,CHILDREN'S HOSPITAL CORPORATION,2016,387162,
THE ANNUAL BLOOD-BRAIN BARRIER CONSORTIUM MEETING,OREGON HEALTH & SCIENCE UNIVERSITY,2015,25000,
ULTRASENSITIVE QUANTITATION OF CIRCULATING TUMOR DNA,STANFORD UNIVERSITY,2016,171048,
ANIMAL FACILITY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,154060
QUANTITATIVE CARDIAC MRI FOR DETECTION OF SUBCLINICAL CARDIOTOXICITY IN BREAST CANCER,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,216250,
A NOVEL LINEAGE SPECIFIC METASTASIS SUPPRESSOR PATHWAY IN LUNG CANCER,YALE UNIVERSITY,2016,355819,
A NOVEL LINEAGE PATHWAY CONTROLS METABOLIC ADAPTATION BY METASTATIC LUNG CANCERS,YALE UNIVERSITY,2016,380278,
DNA DAMAGE ACTIVATES NON-CANONICAL MTORC1 SIGNALING THROUGH MAMMALIAN EAK-7 IN HNSCC.,UNIVERSITY OF MICHIGAN,2016,49376,
PATHOLOGICAL ALTERATION OF FOXO3A IN IPF PATHOGENESIS,UNIVERSITY OF MINNESOTA,2016,380000,
DETERMINING THE STRUCTURE; FUNCTION AND REGULATION OF DYNEIN AND FLAGELLA,BRANDEIS UNIVERSITY,2015,323719,
IN SILICO SCREENING FOR CANCER TARGETS,DIVISION OF BASIC SCIENCES - NCI,2015,178673,
METNASE; PIKK; AND RPA ROLES IN DNA DAMAGE AND REPLICATION STRESS RESPONSES,COLORADO STATE UNIVERSITY,2016,270375,
STANFORD TRAINING PROGRAM IN LUNG BIOLOGY,STANFORD UNIVERSITY,2016,319928,
CONTRAST-ENHANCED AND IMAGE-GUIDED SURGERY OF LUNG CANCER,EMORY UNIVERSITY,2015,1294859,
ULTRA-RARE CELL IN VIVO FLOW CYTOMETRY,NORTHEASTERN UNIVERSITY,2016,353550,
PSYCHOLOGICAL AND BEHAVIORAL FACTORS RELEVANT TO PHYSICAL FUNCTION IN VETERANS,GEORGE WASHINGTON UNIVERSITY,2016,66283,
KLF9-TXNRD2 AXIS IN MELANOMA PROGRESSION AND METASTASIS,ROSWELL PARK CANCER INSTITUTE CORP,2016,406791,
ALK REARRANGEMENTS IN AGGRESSIVE THYROID CANCER,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,313721,
IMAGING AND TARGETING METASTATIC DISEASE,JOHNS HOPKINS UNIVERSITY,2016,336150,
GRANTS FOR EARLY MEDICAL/SURGICAL SPECIALISTS' TRANSITION TO AGING RESEARCH (GEMSSTAR),MASSACHUSETTS GENERAL HOSPITAL,2016,128250,
CONTROL OF BREAST CANCER METASTASIS BY EPSTEIN-BARR VIRUS MICRORNA,WISTAR INSTITUTE,2016,394250,
CT VOLUME MEASUREMENT OF LUNG CANCER TREATED WITH ERLOTINIB: GENOMIC CORRELATION,BRIGHAM AND WOMEN'S HOSPITAL,2015,180360,
CCR-FREDERICK FLOW CYTOMETRY CORE,DIVISION OF BASIC SCIENCES - NCI,2015,708100,
THE ROLE OF JAK2 IN ILEI-INDUCED CANCER STEM CELL FORMATION,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2016,45206,
THE ROLE OF OMEGA-3 FATTY ACIDS AND BIOACTIVE LIPID SIGNALING IN AIRWAY INFLAMMATION AND RESOLUTION FOLLOWING ORGANIC DUST EXPOSURES,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2016,89738,
BIOSTATISTICS FACILITY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,426983
CORE 3 INFORMATICS; BIOSTATISTICS; AND BIOINFORMATICS,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,152102
THIRDHAND SMOKE CONTAMINATION IN A NEONATAL INTENSIVE CARE UNIT (NICU),UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,2016,77000,
PROGRAM PROJECT IN MODELS OF BREAST CANCER,SLOAN-KETTERING INST CAN RESEARCH,2016,2641649,
BRAFV600E AND VEGFR2 SYNERGIZE TO TRIGGER PAPILLARY THYROID CANCER PROGRESSION,BETH ISRAEL DEACONESS MEDICAL CENTER,2016,361050,
MODULATING PROTEIN ACTIVITY WITH HEPARAN SULFATE,UNIVERSITY OF MASSACHUSETTS LOWELL,2016,366600,
IMAGE-GUIDED PHOTODYNAMIC THERAPY OF LUNG CANCER,ROSWELL PARK CANCER INSTITUTE CORP,2015,229028,
ISCHEMIA-CKD SDCC,DUKE UNIVERSITY,2015,150563,
NOVEL FUNCTIONS FOR RAS FAMILY GTPASES,JESSE BROWN VA MEDICAL CENTER,2016,,
RESEARCH ON INHALATION TOXICOLOGY OF ENVIRONMENTAL CHEMICALS,ALION SCIENCE AND TECHNOLOGY CORP,2011,3922126,
MECHANISMS OF RESISTANCE TO PONATINIB THERAPY IN CHRONIC MYELOID LEUKEMIA,UNIVERSITY OF UTAH,2016,555104,
A HUB FOR THE NUCLEAR RECEPTOR SIGNALING ATLAS1,BAYLOR COLLEGE OF MEDICINE,2016,1650000,
IMAGING LOCAL AND GLOBAL CHROMATIN STRUCTURE AS A 3D CONTINUUM WITHIN THE NUCLEUS,SALK INSTITUTE FOR BIOLOGICAL STUDIES,2016,600000,
CDIGMP REGULATION OF BIOFILM FORMATION,DARTMOUTH COLLEGE,2016,396916,
PREVENTION OF COX-2 DERIVED DNA AND HISTONE MODIFICATIONS IN CANCER,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,158464,
PREVENTION OF GENOMIC INSTABILITY BY A SCAVENGER OF BIFUNCTIONAL ELECTROPHILES,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,122946,
METABOLIC APPROACHES TO TREAT SEVERE VIRAL AND INFLAMMATORY DISEASES,LSU HEALTH SCIENCES CENTER,2016,517128,
ARGINASE PRODUCTION IN CANCER: EVADING IMMUNE RESPONSE,LSU HEALTH SCIENCES CENTER,2015,294654,
DETERMINATION OF THE ROLE OF CHD5 TUMOR SUPPRESSOR IN THE ZEBRAFISH MODEL,PURDUE UNIVERSITY,2015,159446,
DISSECTING THE SIGNALING MECHANISMS OF SMOOTHENED,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,2016,336875,
MECHANISMS OF HEDGEHOG LIGAND RELEASE AND DISPERSION,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,2016,354265,
ROLE OF PRRF AND PRRH REGULATION IN PSEUDOMONAS AERUGINOSA PATHOGENESIS,UNIVERSITY OF MARYLAND BALTIMORE,2016,456709,
REGULATION OF TELOMERASE BY SPHINGOLIPID SIGNALING IN LUNG CANCER,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2016,205835,
MECHANISMS OF SPHINGOLIPID ANALOGUE DRUG FTY720-MEDIATED NSCLC TUMOR SUPPRESSION,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2016,310213,
PROJECT 2: REGULATION OF TUMOR METASTASIS BY SYSTEMIC S1P AND COMPLEMENT SIGNALING,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2016,,299900
INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING (ISBI) 2016,UNIVERSITY OF IOWA,2016,10000,
TUMOR EXPRESSED B7X ACCELERATES DISEASE AND IS A NOVEL TARGET FOR IMMUNOTHERAPY,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,48576,
ULTRASOUND-GUIDED ROBOTIC NEEDLE STEERING FOR ABLATION OF LIVER CANCER,STANFORD UNIVERSITY,2016,361256,
REGULATION OF PULMONARY VASCULAR CELL REDOX STATE BY L-2-HYDROXYGLUTARATE,BRIGHAM AND WOMEN'S HOSPITAL,2016,172400,
DEVELOPMENT OF A POLYSACCHARIDE-BASED PATCH FOR USE AS A THERAPEUTIC LUNG SEALANT,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,2016,345910,
THE HEALTH EPEOPLE RESOURCE FOR MOBILIZED RESEARCH,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,1940155,
SIX2 MEDIATES LATE-STAGE METASTASIS THROUGH REVERSIBLE/IRREVERSIBLE REGULATION OF DOWNSTREAM TARGET GENES,UNIVERSITY OF COLORADO DENVER,2016,31077,
MECHANISMS OF THE STROMAL RESPONSE TO SMOOTHENED INHIBITION IN PANCREATIC CANCER,COLUMBIA UNIVERSITY HEALTH SCIENCES,2015,334075,
IDENTIFYING MECHANISMS OF SOX2-DRIVEN SQUAMOUS CELL LUNG CANCER,UNIVERSITY OF UTAH,2016,309175,
INTERNATIONAL PARTNERSHIP FOR INTERDISCIPLINARY RESEARCH TRAINING,UNIVERSITY OF CHICAGO,2016,220534,
MODULATION OF IMMUNE DEFENSES IN PATHOBIOLOGY OF CHRONIC INFECTIONS,VETERANS HEALTH ADMINISTRATION,2016,,
BLR&D RESEARCH CAREER SCIENTIST AWARD APPLICATION,VETERANS HEALTH ADMINISTRATION,2017,,
ANTI-CTGF THERAPY FOR SQUAMOUS CELL LUNG CANCER,DUKE UNIVERSITY,2016,207495,
DEVELOPMENT OF GLI1-SELECTIVE THERAPEUTICS FOR HEDGEHOG PATHWAY-DEPENDENT CANCERS,STANFORD UNIVERSITY,2016,64146,
METHYLATION AND MUTATIONS IN RB1 AND VARIANTS OF SYNTHETIC FOLIC ACID METABOLISM,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,515071,
PROTEASOME ASSEMBLY CHAPERONES IN SENSITIVITY AND RESISTANCE TO PROTEASOME INHIBITORS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,374851,
FGF9 REGULATION OF LUNG DEVELOPMENT AND PATHOGENESIS OF PLEUROPULMONARY BLASTOMA,WASHINGTON UNIVERSITY,2015,500116,
IFNARI DOWNREGULATION IN MELANOMA CELLS AND STROMAL CELLS PROMOTES MELANOMA PROGRESSION AND PULMONARY METASTASIS,UNIVERSITY OF PENNSYLVANIA,2016,54294,
MESENCHYMAL STEM CELL SECRETOME IN LUNG FIBROSIS: MITOCHONDRIA AND RNA SHUTTLE,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,395142,
RV/PA RECOUPLING BY BONE MARROW DERIVED MESENCHYMAL STEM CELLS,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,579212,
DISSEMINATION AND IMPLEMENTATION OF A CORRECTIVE INTERVENTION TO IMPROVE MEDIASTI,UNIVERSITY OF MEMPHIS,2016,508872,
RECRUITED LUNG DENDRITIC CELLS AND THE ORCHESTRATION OF LOCAL IMMUNE RESPONSES,VETERANS HEALTH ADMINISTRATION,2016,,
EMPATHIC PHYSICIAN COMMUNICATION AND STIGMA IN LUNG CANCER PATIENTS,SLOAN-KETTERING INST CAN RESEARCH,2016,87950,
PROVIDER TRAINING IN EMPATHIC COMMUNICATION SKILLS TO REDUCE LUNG CANCER STIGMA,SLOAN-KETTERING INST CAN RESEARCH,2016,186398,
OPTIMIZING TOBACCO TREATMENT FOR SMOKERS SEEKING LUNG CANCER SCREENING,SLOAN-KETTERING INST CAN RESEARCH,2016,718575,
MOLECULAR BIOLOGY AND CANCER GENETICS RESEARCH PROGRAM (MBCG),OHIO STATE UNIVERSITY,2016,,36301
MULTILAYERED REDOX-RESPONSIVE NANOPARTICLES FOR DELIVERY OF DRUG-SIRNA COMBINATIO,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2016,338625,
NANOPARTICLES BASED ON HISTONE DEACETYLASE INHIBITORS FOR COMBINATION TREATMENTS,UNIVERSITY OF NEBRASKA MEDICAL CENTER,2016,227254,
IRE1/XBP1S SIGNALING: A NOVEL ESSENTIAL REGULATOR FOR BONE MARROW MICROENVIRONMEN,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,385576,
NUTRIENT TRANSPORT; MEMBRANE TRFFICKING; AND MTORC1 SIGNALING AT LYSOSOMES.,SLOAN-KETTERING INST CAN RESEARCH,2016,351902,
EPIGENETIC CONTROL OF SMC TRANSITIONS TO A MULTI-POTENTIAL STEM CELL-LIKE STATE,UNIVERSITY OF VIRGINIA,2016,406850,
TARGETING THE BMP PATHWAY IN METASTATIC CANCER,VETERANS HEALTH ADMINISTRATION,2016,,
HISTONE DEACETYLASE INHIBITORS EQUIPPED WITH ESTROGEN RECEPTOR MODULATION ACTIVIT,GEORGIA INSTITUTE OF TECHNOLOGY,2015,196621,
BRIDGING PEDIATRIC AND ADULT BIOMARKERS OF GRAFT-VERSUS-HOST-DISEASE,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2016,505765,
PEPTIDE BASED THERAPY FOR LUNG FIBROSIS,"NOVICI BIOTECH, LLC",2016,749790,
CHEMICAL MODIFICATIONS OF ANTIBODIES FOR MOLECULAR TARGETING,CLINICAL CENTER,2015,,
NOVEL ROLE(S) OF NRF2 IN THE GROWTH OF POST-TRANSPLANTATION CANCER,CHILDREN'S HOSPITAL CORPORATION,2016,411185,
CAUSES: CAUSES OF ASIAN AMERICAN MORTALITY UNDERSTOOD BY SOCIO-ECONOMIC STATUS,STANFORD UNIVERSITY,2016,401250,
NOVEL TARGETS FOR VACCINE THERAPY,DIVISION OF BASIC SCIENCES - NCI,2015,813239,
NOVEL THERAPY TARGETING REFRACTORY COLON CANCER,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2016,454126,
GENETIC ASSOCIATION AND PERSONALIZED MEDICINE,UNIVERSITY OF MINNESOTA,2016,370536,
DEVELOPMENT OF ADVANCED C-ARM CONE-BEAM CT FOR THE TREATMENT OF LIVER CANCER,UNIVERSITY OF CHICAGO,2016,443731,
PROJECT 2: OPTIMIZATION OF HPPH FOR HNSCC SELECTIVITY,ROSWELL PARK CANCER INSTITUTE CORP,2016,,523814
SIGNAL TRANSDUCTION MECHANISMS THAT MEDIATE NORMAL AND PATHOLOGIC ANGIOGENESIS,UNIVERSITY OF ROCHESTER,2016,383750,
MECHANISMS AND MODULATORS OF SENSITIVITY AND RESISTANCE TO EGFR INHIBITORS IN LU,SLOAN-KETTERING INST CAN RESEARCH,2016,,390070
ELUCIDATING THE ROLE OF THE NRF2 ANTI-OXIDANT PATHWAY IN LUNG ADENOCARCINOMA,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,190080,
INVESTIGATION OF SYSTEMIC LYMPHATIC UPTAKE OF MACROMOLECULES,MASSACHUSETTS GENERAL HOSPITAL,2016,189225,
PD-1/PD-L1 MODULATION IN CANCER THERAPY,JOHNS HOPKINS UNIVERSITY,2016,488332,
INTEGRATING TOBACCO TREATMENT INTO CANCER CARE,MASSACHUSETTS GENERAL HOSPITAL,2016,694888,
EXAMINING DELIVERY OF INTEGRATED TOBACCO TREATMENT IN CANCER CARE,MASSACHUSETTS GENERAL HOSPITAL,2016,172918,
(PQ4A) METABOLIC PLASTICITY OF PRE-MALIGNANT CELLS DURING TUMOR PROGRESSION,UNIVERSITY OF VIRGINIA,2016,53843,
(PQ4A) METABOLIC PLASTICITY OF PRE-MALIGNANT CELLS DURING TUMOR PROGRESSION,UNIVERSITY OF VIRGINIA,2016,340050,
PROJECT 1 - ETHNIC DIFFERENCES IN SMOKING-RELATED BIOMARKERS AND RISK OF LUNG CANCER,UNIVERSITY OF MINNESOTA,2016,,533347
THE ANTIGEN TARGETING CORE,DIVISION OF BASIC SCIENCES - NCI,2015,278764,
ENLACE: A PROMOTORA-LED PHYSICAL ACTIVITY INTERVENTION TRIAL FOR LATINAS IN TEXAS,UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,2016,636296,
MODIFIED ANNEXIN V FOR IMMUNOSTIMULATION OF THE TUMOR MICROENVIRONMENT,"RUBICON BIOTECHNOLOGY, INC.",2015,292989,
RC4: ALCOHOL & HIV-ASSOCIATED CANCER PATHOGENESIS,LSU HEALTH SCIENCES CENTER,2016,,46254
CANCER CONTROL RESEARCH PROGRAM (CC),OHIO STATE UNIVERSITY,2016,,35888
THE NORTH AMERICAN MESOTHELIOMA CONSORTIUM,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2015,178092,
THE NORTH AMERICAN MESOTHELIOMA CONSORTIUM,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2014,541687,
GROWTH REGULATION SECTION,DIVISION OF BASIC SCIENCES - NCI,2015,70996,
CIRCULATING DNA AS A MARKER OF TREATMENT EFFICACY AND FAILURE IN LUNG CANCER,YALE UNIVERSITY,2016,382585,
MULTISCALE IMAGE-BASED MODELING OF ANTIANGIOGENIC RESISTANCE IN BREAST CANCER,JOHNS HOPKINS UNIVERSITY,2016,367739,
EXPLOITING THE EPITHELIAL-TO-MESENCHYMAL TRANSITION FOR THE DIFFERENTIATION OF CANCER STEM CELLS,WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,2016,101116,
EFFECTS OF HIV INFECTION ON RESIDENT MEMORY T CELLS,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,264000,
COMMUNITY INTERVENTION TO REDUCE TOBACCO USE AMONG PREGNANT ALASKA NATIVE WOMEN,MAYO CLINIC ROCHESTER,2016,489962,
REGULATION OF ENAC IN SALT-SENSITIVE HYPERTENSION VIA INFLAMMATION-INDUCED ROS PRODUCTION,HENRY FORD HEALTH SYSTEM,2016,235851,
DEVELOPMENT OF NOVEL LUNG CANCER THERAPEUTICS TARGETING THE DNA DAMAGE RESPONSE,"NERX BIOSCIENCES, INC.",2015,249431,
CYCLIC CELL-PENETRATING PEPTIDES,OHIO STATE UNIVERSITY,2016,58773,
CYCLIC CELL-PENETRATING PEPTIDES,OHIO STATE UNIVERSITY,2016,289476,
ORAL MICROBIOME IN ESOPHAGEAL ADENOCARCINOMA,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,539256,
REGULATING CELL FATE AND SHAPING THE BODY PLAN DURING MORPHOGENESIS AND THEIR ALTERATION DURING ONCOGENESIS,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,374090,
REACTIVE OXYGEN SPECIES-INDUCED CXCL8 IN OVARIAN CANCER,THOMAS JEFFERSON UNIVERSITY,2015,169650,
ROLE OF ABL KINASES IN IMMUNE CELL SIGNALING,DUKE UNIVERSITY,2015,387789,
KINASE TARGET OF DIVERSE CELL SURFACE RECEPTORS IN CANCER INVASION AND METASTASIS,DUKE UNIVERSITY,2015,321264,
NOVEL TARGET FOR THERAPY REFRACTORY LUNG TUMORS,DUKE UNIVERSITY,2016,359887,
THE ROLES OF HEDGEHOG SIGNALING IN PULMONARY VASCULAR DEVELOPMENT AND REMODELING,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,169068,
A NOVEL ANTI-HER2/NEU IGE FOR BREAST CANCER THERAPY,UNIVERSITY OF CALIFORNIA LOS ANGELES,2016,556615,
FUNCTION AND TARGETING OF THE PROTON- SENSING GPCR OGR1 IN AIRWAY SMOOTH MUSCLE,RUTGERS BIOMEDICAL/HEALTH SCIENCES-RBHS,2016,,349773
NOVEL PROTEIN RISK MARKERS FOR LUNG CANCER,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,221850,
INHALED DNA DEMETHYLATING THERAPY FOR LUNG CANCER AND BRONCHIAL PREMALIGNANCY,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,442325,
THERAPEUTIC TARGETING OF BREAST CANCER TUMOR INITIATING CELLS,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,393933,
CREDENTIALING MOUSE MODELS FOR IMMUNE SYSTEM THERAPY RESEARCH,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,581304,
MOUSE MODELS OF METASTATIC TRIPLE-NEGATIVE BREAST CANCER FOR THERAPEUTIC TESTING,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,572521,
AMERICAN INDIAN MHEALTH SMOKING DEPENDENCE STUDY (PQ4),AVERA MCKENNAN,2015,462358,
SMALL MOLECULE INHIBITORS OF VE-PTP TO MITIGATE DAMAGE BY RADIATION THERAPY,"AERPIO THERAPEUTICS, INC.",2015,225000,
COLORECTAL TUMOR RISK PREDICTION IN THE PLCO TRIAL,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,591978,
MAYO CLINIC PROSPECTIVE RESOURCE FOR BIOMARKER VALIDATION AND EARLY DETECTION OF PANCREATIC CANCER,MAYO CLINIC ROCHESTER,2016,238500,
MAYO CLINIC PROSPECTIVE RESOURCE FOR BIOMARKER VALIDATION AND EARLY DETECTION OF PANCREATIC CANCER,MAYO CLINIC ROCHESTER,2016,644076,
RESEARCH AND EDUCATION CORE,UNIVERSITY OF GUAM,2016,,99225
INTERACTIONS BETWEEN TOBACCO SMOKE CONSTITUENTS IN RODENT TUMOR MODELS,UNIVERSITY OF MINNESOTA,2016,654664,
COPPER METABOLISM AS A UNIQUE VULNERABILITY IN CANCER,UNIVERSITY OF MISSOURI-COLUMBIA,2016,345224,
NOXA-MEDIATED MECHANISMS OF PROTEASOME ADDICTION IN BASAL-LIKE BREAST CANCER,BOSTON UNIVERSITY MEDICAL CAMPUS,2016,191808,
TISSUE-SPECIFIC STEM CELLS AND BREAST CANCER TISSUE TROPISM IN BIOENGINEERED MICROENVIRONMENTS,UNIVERSITY OF MASSACHUSETTS AMHERST,2015,230286,
TISSUE-SPECIFIC STEM CELLS AND BREAST CANCER TISSUE TROPISM,UNIVERSITY OF MASSACHUSETTS AMHERST,2013,2385000,
MYOFIBROBLASTS IN PULMONARY FIBROSIS,UNIVERSITY OF MICHIGAN,2016,387500,
REGULATION OF K-RAS BY A FARNESYL-ELECTROSTATIC SWITCH,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2015,310872,
CHARACTERIZATION OF LCMT IN ANIMAL MODELS OF CANCER,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2016,351713,
HEPARAN SULFATE PROTEOGLYCANS AS CRITICAL REGULATORS OF BRAIN CANCER MALIGNANCY,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,346719,
NF-KB MEDIATED INFLAMMATORY CHANGES INTHE GUT AND MICROBIOME BY PCB 153,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2016,48576,
VALIDATION OF A RAPID POINT-OF-CARE BREATH TEST FOR BREAST CANCER,"MENSSANA RESEARCH, INC.",2016,1071867,
INTERDISCIPLINARY TRAINING PROGRAM IN LUNG DISEASE,DUKE UNIVERSITY,2016,444817,
SELECTIVE ANTI-CANCER ACTIVITY OF SULINDAC DERIVATIVES ON KRAS MUTANT COLON TUMOR CELLS BY INDUCING ROS,UNIVERSITY OF SOUTH ALABAMA,2016,128775,
NOVEL SULINDAC DERIVATIVES FOR  COLON CANCER CHEMOPREVENTION,UNIVERSITY OF SOUTH ALABAMA,2016,376950,
PDE INHIBITION BY SULINDAC SULFIDE AMIDE DERIVATIVES FOR LUNG CANCER CHEMOPREVENTION,UNIVERSITY OF SOUTH ALABAMA,2016,164756,
PHOSPHODIESTERASE 10A; A NOVEL TARGET FOR LUNG CANCER CHEMOPREVENTION,UNIVERSITY OF SOUTH ALABAMA,2016,346556,
EVALUATING IMPACTS OF OCCUPATIONAL EXPOSURE LIMITS FOR SILICA USING G-ESTIMATION,UNIVERSITY OF CALIFORNIA BERKELEY,2016,78500,
LMTK3 INHIBITORS FOR THE TREATMENT OF BREAST CANCER,TORREY PINES INST FOR MOLECULAR STUDIES,2016,199275,
TRANSLATIONAL MIXED-FACTOR BENCHMARK-DOSE RISK ASSESSMENT,UNIVERSITY OF ARIZONA,2016,76750,
CLINICAL GENOMIC STUDY,UNIVERSITY OF MICHIGAN,2016,,400840
